symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.4,123023.0,7.37,1.22,16.52,1.82,13.03,-1.52,False,True,46.97,0.66,24.6,166467592000.0,-5.68,19.81,64.1,72.6,83.7,80.7,78.0
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,16.0,6683.0,4.27,1.21,28.3,-25.58,-30.59,-41.81,False,False,28.81,0.89,38.02,7133597500.0,-50.44,4.58,73.7,93.8,9.3,21.1,46.7
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.23,2354.0,58.11,0.39,0.67,-10.6,-6.94,-32.87,False,False,21.36,0.62,25.61,1112581900.0,-38.34,2.75,51.1,2.7,53.2,7.0,29.2
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.0,10939.0,110.34,2.27,2.06,7.02,9.88,12.61,True,True,41.18,0.38,17.83,61528063250.0,-2.14,22.49,13.3,7.1,86.1,54.4,44.1
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,39.8,58374.0,11.78,1.81,15.36,-25.61,-24.62,-41.32,False,False,24.46,0.89,37.79,28740173250.0,-49.39,13.71,40.7,65.5,13.7,42.1,35.8
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.2,293023.0,8.48,1.42,16.79,-7.83,-1.57,-5.92,True,False,43.36,0.89,32.98,138155634000.0,-28.86,11.46,54.7,75.2,65.3,74.6,63.4
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,143.5,12287.0,9.56,4.08,42.7,-5.28,17.15,3.96,False,False,48.98,0.48,36.36,10248490500.0,-19.65,25.17,33.5,99.1,82.6,27.2,59.8
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,26.85,8858.0,16.57,1.19,7.19,-21.26,-13.64,-39.66,False,False,31.53,0.93,33.86,9405670750.0,-39.66,2.29,43.1,23.9,31.2,24.6,28.6
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,31.55,130941.0,30.34,2.61,8.61,20.86,13.75,87.72,True,True,82.58,0.77,53.97,348401712750.0,-15.7,136.35,14.2,34.5,92.3,92.1,59.5
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,70.5,53967.0,29.5,,,6.82,-7.24,23.03,True,True,69.14,0.8,42.93,43260427500.0,-18.02,52.55,30.8,50.0,69.6,49.1,53.4
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,40.85,9666.0,9.06,1.5,16.59,-5.44,-2.8,-10.51,False,False,34.15,0.26,20.25,1024477000.0,-14.43,2.27,53.0,73.5,66.7,6.1,50.6
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,11.6,9816.0,37.42,1.06,2.83,-24.68,-20.02,-49.56,False,False,25.0,1.4,55.05,81199234705.0,-61.89,7.41,35.7,8.8,24.2,60.5,27.3
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,12.85,12835.0,61.19,0.82,1.34,-27.61,-21.17,-44.13,False,False,14.55,1.1,49.66,127175359500.0,-57.66,1.58,40.1,4.4,18.2,71.9,27.7
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,22.7,6742.0,14.84,1.56,10.54,-17.15,-23.31,-39.9,False,False,33.71,0.59,27.41,3003665250.0,-41.52,0.89,36.9,43.4,22.8,14.9,27.3
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,58.7,9214.0,9.51,0.67,7.07,-19.03,-25.74,-20.05,False,False,25.3,0.9,38.42,13960849500.0,-36.73,6.53,74.2,22.1,16.5,30.7,33.6
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,31.0,272231.0,6.97,1.35,19.37,-7.0,-6.31,-12.58,False,False,41.96,0.94,28.01,237395741250.0,-24.15,7.83,61.9,82.3,60.7,86.8,67.9
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,72.2,9917.0,13.78,4.0,29.0,-3.62,2.88,-7.43,False,False,20.0,0.59,30.9,15121183500.0,-23.79,8.73,25.0,94.7,74.7,34.2,55.3
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm đồ uống,HOSE,16.0,9006.0,4.08,0.76,18.7,-14.67,-21.86,-37.35,False,False,20.83,0.78,28.77,28530410500.0,-37.35,1.91,88.0,80.5,28.9,41.2,57.1
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Hóa chất/Phân bón,HOSE,33.7,23982.0,9.23,1.67,18.04,-3.4,-18.24,-8.13,True,False,68.75,0.49,39.51,112843017250.0,-28.99,16.61,49.9,79.6,48.2,68.4,56.9
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất/Phân bón,HOSE,35.35,20014.0,4.42,0.89,20.18,-17.19,-23.16,-55.49,False,False,47.99,0.65,46.68,33668777120.0,-55.49,18.47,84.0,84.1,23.5,46.5,56.1
DGW,Công ty cổ phần Thế giới số,Bán lẻ,HOSE,45.0,10008.0,18.07,2.86,15.85,10.84,9.74,1.64,True,True,57.25,0.95,41.0,84241102750.0,-17.69,35.75,20.3,68.1,87.4,63.2,62.6
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm,HOSE,90.5,13035.0,13.88,2.86,20.61,1.6,-0.36,-2.01,True,False,46.1,0.21,11.23,731016050.0,-7.09,5.88,27.8,85.0,74.6,3.5,48.2
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,BĐS dân dụng,HOSE,10.1,11469.0,12.47,0.68,5.48,-16.36,-19.8,-52.13,False,False,18.72,1.04,42.18,54233215025.0,-56.48,10.48,65.9,16.8,31.4,52.6,38.4
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-CTCP,Hóa chất/Phân bón,HOSE,22.8,19514.0,14.43,1.37,9.46,3.84,-15.59,-11.45,True,False,57.58,0.53,36.31,83427229250.0,-28.38,10.94,39.1,37.2,56.3,61.4,44.8
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Khác,HOSE,10.55,16630.0,45.87,0.68,1.48,-18.85,-14.09,-49.04,False,False,12.2,1.0,42.06,126214486500.0,-49.04,5.82,45.4,6.2,33.0,71.1,33.9
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE,16.2,42191.0,26.56,1.16,4.37,-22.67,-27.19,-41.09,False,False,24.44,1.14,35.35,73340048750.0,-41.09,1.25,36.6,13.3,13.7,59.6,25.3
ELC,Công ty Cổ phần công nghệ - viễn thông ELCOM,Công nghệ,HOSE,13.1,1987.0,10.92,1.04,9.49,-12.67,-20.59,-38.29,False,False,36.08,0.56,32.79,3598648195.0,-47.6,0.0,59.5,38.1,33.2,15.8,35.6
FPT,Công ty Cổ phần FPT,Công nghệ,HOSE,66.4,130659.0,12.03,3.09,25.71,3.46,-0.74,-27.71,True,False,53.12,0.74,32.45,435796979875.0,-30.21,17.43,31.6,92.9,76.5,93.9,68.0
FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ,HOSE,130.1,25733.0,27.86,5.31,19.07,4.68,-8.07,0.44,True,False,23.49,0.84,37.21,47937604000.0,-22.16,23.9,8.0,81.4,67.5,50.0,48.0
FTS,Công ty Cổ phần Chứng khoán FPT,Chứng khoán,HOSE,20.6,9598.0,16.35,1.63,9.96,-22.41,-6.68,-38.65,False,False,31.25,0.95,38.58,16297033750.0,-38.9,2.49,33.8,39.8,42.5,36.0,35.2
GAS,Tổng Công ty Khí Việt Nam-CTCP,Dầu khí,HOSE,86.1,191106.0,18.2,3.13,17.22,8.45,8.05,41.31,True,True,60.91,0.7,48.79,149267005590.0,-31.16,58.21,18.3,76.1,85.8,78.1,66.2
GEG,Công ty Cổ phần Điện Gia Lai,Điện/Nước,HOSE,12.35,5482.0,6.24,0.89,14.29,-9.52,-21.88,-18.7,False,False,33.33,0.48,28.08,2009665250.0,-24.39,5.56,79.8,61.1,34.4,10.5,46.2
GMD,Công ty Cổ phần Gemadept,Vận tải/Cảng,HOSE,77.0,32072.0,18.47,2.45,13.29,1.85,2.64,7.07,True,True,35.11,0.75,33.14,68035317000.0,-6.12,38.04,22.7,55.8,78.8,56.1,56.5
GVR,Tập đoàn Công nghiệp Cao su Việt Nam,Khác,HOSE,32.2,132600.0,24.21,2.29,9.45,-6.67,4.72,10.9,True,False,44.27,0.99,47.62,72233690000.0,-29.62,29.35,20.9,36.3,72.6,58.8,43.9
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Khác,HOSE,13.9,21039.0,7.28,1.17,16.1,-7.64,-9.74,-12.85,False,False,37.5,0.69,30.24,22948375250.0,-26.26,2.21,67.2,69.9,54.0,37.7,55.6
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Vận tải/Cảng,HOSE,46.9,10091.0,6.76,1.62,24.04,-8.74,-8.57,-15.09,True,False,43.55,0.78,35.17,32096923750.0,-31.23,6.83,58.8,91.2,54.6,44.7,59.8
HBC,Công ty cổ phần Tập đoàn Xây dựng Hoà Bình,Khác,HOSE,3.6,1771.0,5.22,0.64,12.26,-28.0,-32.08,-54.43,False,False,25.0,0.65,30.45,2625215185.0,-54.43,2.86,90.0,53.1,6.3,14.0,39.4
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Chứng khoán,HOSE,25.0,29861.0,24.75,2.54,10.26,2.28,41.44,7.61,False,True,32.95,0.97,34.76,100199881500.0,-5.66,51.81,18.2,41.6,91.8,66.7,57.6
HDB,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,Ngân hàng,HOSE,27.6,134141.0,7.75,1.69,21.84,9.31,10.4,14.36,True,True,46.15,0.98,32.75,306392993500.0,-7.07,24.71,53.9,89.4,88.8,90.4,82.4
HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,BĐS dân dụng,HOSE,11.45,3745.0,3.58,0.79,22.13,-28.21,-24.76,-57.87,False,False,18.52,0.99,39.74,11021327750.0,-64.89,5.05,88.0,90.3,10.7,28.1,51.6
HDG,Công ty Cổ phần Tập đoàn Hà Đô,BĐS dân dụng,HOSE,16.0,10303.0,7.69,0.86,11.21,-25.75,-39.62,-42.56,False,False,42.86,0.92,37.98,18734723000.0,-49.8,3.23,76.0,47.8,6.0,36.8,38.2
HPG,Công ty cổ phần Tập đoàn Hòa Phát,Thép,HOSE,21.1,215681.0,10.5,1.25,11.94,-10.59,-8.74,-21.08,False,False,36.59,0.73,27.28,427831366000.0,-21.08,3.69,53.1,49.6,49.6,93.0,55.4
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Thép,HOSE,10.1,10029.0,7.01,0.39,5.51,-15.48,-7.53,-35.0,False,False,13.04,0.74,28.57,25210447500.0,-35.0,0.5,89.5,17.7,46.0,38.6,47.0
HT1,Công ty Cổ phần xi măng VICEM Hà Tiên,VLXD,HOSE,11.8,5838.0,16.39,0.89,5.41,-11.83,-22.04,-34.82,False,False,17.83,0.61,33.63,2199043615.0,-39.68,4.07,53.2,15.9,31.4,12.3,27.4
IDC,Tổng công ty IDICO - Công ty Cổ phần,BĐS KCN,HNX,33.2,18482.0,6.52,1.95,29.91,-8.88,-12.44,-7.08,True,False,56.14,0.86,37.51,41544891565.0,-26.47,18.16,56.1,95.6,47.7,48.2,58.7
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,BĐS dân dụng,HOSE,6.85,6579.0,7.21,0.53,7.42,-24.7,-28.43,-48.73,False,False,23.0,0.85,30.26,9663542850.0,-49.09,2.39,86.2,26.5,11.2,25.4,35.5
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,Dược phẩm,HOSE,37.7,8609.0,16.61,2.52,15.15,-13.44,-29.8,-28.22,True,False,44.44,0.27,24.55,362813750.0,-32.52,7.71,25.8,64.6,20.7,2.6,26.4
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP,BĐS KCN,HOSE,26.0,32867.0,10.61,0.9,8.48,-12.61,-10.5,-31.58,False,False,9.76,0.97,35.17,35922824750.0,-31.58,0.0,64.2,32.7,45.6,47.4,45.0
KDC,Công ty Cổ phần Tập đoàn Kido,Thực phẩm đồ uống,HOSE,51.1,13838.0,28.39,2.08,7.33,2.2,2.3,-2.2,True,True,11.76,0.1,21.04,6050488500.0,-3.99,22.84,19.1,25.7,78.1,18.4,41.2
