symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE,22.3,123023.0,7.34,1.21,16.52,-1.03,9.9,-6.05,False,True,44.0,0.67,24.25,188579028500.0,-6.9,19.27,69.7,71.9,83.7,82.6,79.7
ANV,Công ty Cổ phần Nam Việt,Thực phẩm đồ uống,HOSE,17.0,6683.0,4.53,1.28,28.3,-19.05,-33.46,-37.29,False,False,30.91,0.87,38.22,8725450830.0,-47.35,5.26,73.0,93.9,9.0,21.7,46.6
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Khác,HOSE,5.62,2354.0,62.44,0.42,0.67,-4.26,-6.64,-25.52,False,False,18.87,0.62,26.08,1204168950.0,-33.74,6.04,50.9,2.6,66.8,7.0,33.2
BAF,Công ty Cổ phần Nông nghiệp BaF Việt Nam,Khác,HOSE,32.4,10939.0,111.72,2.3,2.06,12.54,4.8,12.7,True,True,71.11,0.37,17.91,69808714660.0,-0.92,24.02,12.3,7.0,91.3,58.3,46.0
BCM,Tập đoàn Đầu tư và Phát triển công nghiệp Becamex - CTCP,BĐS KCN,HOSE,42.6,58374.0,12.6,1.94,15.36,-21.26,-27.8,-36.27,False,False,45.62,0.87,37.54,46206669982.0,-45.83,21.71,40.1,64.9,12.9,51.3,36.9
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE,36.4,293023.0,8.52,1.43,16.79,-6.33,-11.39,-6.4,False,False,45.35,0.9,33.1,130743367360.0,-28.47,12.07,56.0,74.6,56.7,72.2,60.6
BMP,Công ty Cổ phần Nhựa Bình Minh,VLXD,HOSE,143.8,12287.0,9.58,4.09,42.7,7.63,0.02,10.36,False,False,31.78,0.45,36.19,10456385650.0,-19.48,25.43,36.7,99.1,84.3,26.1,61.1
BSI,Công ty cổ phần Chứng khoán BIDV,Chứng khoán,HOSE,29.25,8858.0,18.06,1.3,7.19,-5.92,-17.82,-38.83,False,False,52.94,0.95,34.71,9934132050.0,-41.5,11.43,36.5,23.7,50.1,25.2,32.5
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,HOSE,26.95,130941.0,25.91,2.23,8.61,-4.37,-23.44,62.12,True,True,53.66,0.81,54.13,255330744230.0,-27.99,101.89,19.8,34.2,40.9,90.4,45.3
BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,64.6,53967.0,27.03,,,-7.32,-15.0,8.82,True,False,41.13,0.84,42.6,31241108300.0,-24.88,39.78,32.1,50.0,50.4,43.5,40.9
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Điện/Nước,HOSE,41.7,9666.0,9.25,1.53,16.59,-3.03,-5.82,-7.3,False,False,7.81,0.25,20.1,4596447690.0,-12.65,4.4,52.5,72.8,69.4,18.3,53.3
CEO,Công ty Cổ phần Tập đoàn C.E.O,Khác,HNX,12.9,9816.0,41.61,1.18,2.83,-12.78,-15.5,-44.59,False,False,57.89,1.39,55.53,82147088520.0,-57.62,19.44,34.7,8.8,39.8,63.5,32.2
CII,Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Khác,HOSE,14.4,12835.0,68.57,0.92,1.34,-11.11,-11.11,-36.31,False,False,52.56,1.15,50.77,131858845450.0,-52.55,13.83,39.7,4.4,49.6,73.0,37.2
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,HOSE,24.0,6742.0,15.69,1.65,10.54,-13.2,-24.65,-35.45,False,False,39.39,0.59,27.48,3079111900.0,-38.17,1.69,35.9,43.0,22.3,14.8,26.7
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,HOSE,62.3,9214.0,10.1,0.71,7.07,-14.31,-18.84,-9.51,False,False,41.89,0.92,39.03,15861228440.0,-32.85,13.07,74.8,21.9,31.7,32.2,38.5
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,HOSE,31.55,272231.0,7.09,1.37,19.37,-5.5,-11.5,-9.48,False,False,42.17,0.93,27.66,220651531000.0,-22.8,9.74,62.4,82.5,57.0,86.1,66.9
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng,HOSE,75.5,9917.0,14.41,4.18,29.0,-5.94,-1.07,-0.02,True,False,43.59,0.62,31.41,23351261575.0,-20.31,13.7,25.2,94.7,68.0,40.0,54.4
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm đồ uống,HOSE,17.0,9006.0,4.34,0.81,18.7,-11.92,-22.94,-30.06,False,False,54.55,0.8,29.54,28532197545.0,-34.35,8.28,87.7,80.7,28.5,41.7,57.0
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Hóa chất/Phân bón,HOSE,32.15,23982.0,8.81,1.59,18.04,-12.13,-28.71,-12.92,True,False,56.9,0.51,39.45,80509762525.0,-32.26,11.25,54.3,79.8,18.8,62.6,48.3
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất/Phân bón,HOSE,47.35,20014.0,5.92,1.19,20.18,3.27,-33.31,-50.43,True,False,62.72,0.68,46.42,25958321750.0,-50.58,31.53,74.3,84.2,39.1,40.9,57.1
DGW,Công ty cổ phần Thế giới số,Bán lẻ,HOSE,39.95,10008.0,16.04,2.54,15.85,0.13,-11.04,-2.8,True,False,44.98,1.01,40.55,61215381725.0,-26.93,20.51,27.8,67.5,67.5,53.0,50.8
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm,HOSE,95.7,13035.0,14.68,3.02,20.61,2.46,-2.1,-0.65,True,False,50.67,0.21,11.26,839265835.0,-6.9,6.1,26.5,85.1,78.3,5.2,49.3
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,BĐS dân dụng,HOSE,11.1,11469.0,13.7,0.75,5.48,-13.62,-19.27,-47.68,False,False,52.54,1.08,43.37,73835801450.0,-54.88,14.55,65.3,16.7,32.0,60.0,39.7
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-CTCP,Hóa chất/Phân bón,HOSE,22.95,19514.0,14.53,1.37,9.46,-2.34,-19.63,-8.02,True,False,58.02,0.52,36.09,63033964415.0,-27.91,11.67,42.1,36.8,51.0,54.8,42.8
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Khác,HOSE,11.65,16630.0,50.65,0.75,1.48,-9.34,-5.81,-42.01,True,False,57.58,0.98,42.76,117476002505.0,-45.12,16.85,45.4,6.1,56.9,71.3,41.1
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE,17.0,42191.0,27.87,1.22,4.37,-19.43,-23.94,-41.88,False,False,25.0,1.18,36.14,79215882705.0,-43.71,3.03,34.7,13.2,18.3,61.7,26.5
ELC,Công ty Cổ phần công nghệ - viễn thông ELCOM,Công nghệ,HOSE,14.6,1987.0,12.17,1.15,9.49,-9.32,-23.16,-30.48,False,False,23.91,0.53,32.61,3864420500.0,-45.42,2.1,59.0,37.7,31.6,16.5,35.0
FPT,Công ty Cổ phần FPT,Công nghệ,HOSE,72.7,130659.0,13.17,3.39,25.71,-3.07,-12.67,-28.74,True,False,57.6,0.74,32.22,375304851480.0,-30.53,16.88,28.3,93.0,60.7,93.0,62.2
FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ,HOSE,141.0,25733.0,30.19,5.76,19.07,18.63,-6.89,12.07,True,True,39.46,0.82,36.79,76701804200.0,-15.64,34.29,6.6,81.6,80.5,60.9,59.5
FTS,Công ty Cổ phần Chứng khoán FPT,Chứng khoán,HOSE,22.55,9598.0,17.9,1.78,9.96,-5.25,-20.87,-35.67,False,False,51.11,0.94,38.4,18507317330.0,-36.95,12.19,29.5,39.5,45.2,34.8,34.6
GAS,Tổng Công ty Khí Việt Nam-CTCP,Dầu khí,HOSE,83.1,191106.0,17.57,3.03,17.22,-2.24,-30.58,28.04,True,True,59.17,0.68,48.15,137135592000.0,-35.43,48.39,19.9,75.4,35.1,73.9,50.5
GEG,Công ty Cổ phần Điện Gia Lai,Điện/Nước,HOSE,12.8,5482.0,6.46,0.92,14.29,-3.31,-11.29,-14.94,True,False,76.47,0.49,28.42,2202721238.0,-21.64,9.4,80.9,60.5,63.0,9.6,54.8
GMD,Công ty Cổ phần Gemadept,Vận tải/Cảng,HOSE,77.8,32072.0,18.66,2.48,13.29,2.1,3.57,16.19,True,True,53.0,0.78,34.25,102815337080.0,-5.15,39.47,22.5,55.3,84.2,69.6,60.3
GVR,Tập đoàn Công nghiệp Cao su Việt Nam,Khác,HOSE,31.55,132600.0,23.72,2.24,9.45,-9.34,-22.19,9.59,True,False,45.0,0.98,47.29,85549917880.0,-31.04,26.74,21.6,36.0,34.4,64.3,33.6
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Khác,HOSE,14.05,21039.0,7.36,1.18,16.1,-9.06,-11.36,-14.07,False,False,44.44,0.71,31.06,22984021290.0,-25.46,2.55,71.0,69.3,52.0,39.1,56.1
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Vận tải/Cảng,HOSE,47.15,10091.0,6.79,1.63,24.04,-9.27,-22.82,-14.34,False,False,56.9,0.75,35.06,34450358215.0,-30.87,7.4,60.5,91.2,33.6,45.2,54.0
HBC,Công ty cổ phần Tập đoàn Xây dựng Hoà Bình,Khác,HOSE,3.9,1771.0,5.65,0.69,12.26,-22.0,-33.9,-52.44,False,False,33.33,0.63,29.88,2692111095.0,-52.44,0.0,89.4,52.6,6.4,13.0,39.0
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Chứng khoán,HOSE,26.3,29861.0,26.04,2.67,10.26,12.98,24.5,10.0,True,True,51.9,0.99,35.17,113192297500.0,-0.75,59.7,16.3,41.2,95.7,70.4,58.8
HDB,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,Ngân hàng,HOSE,26.95,134141.0,7.57,1.65,21.84,5.69,3.85,7.54,True,True,47.06,1.0,33.22,265245171345.0,-9.26,21.77,56.3,89.5,87.5,91.3,82.9
HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,BĐS dân dụng,HOSE,11.85,3745.0,3.7,0.82,22.13,-21.46,-26.54,-57.01,False,False,48.21,1.05,40.79,11986183100.0,-63.66,8.72,88.2,90.4,13.6,27.8,52.4
HDG,Công ty Cổ phần Tập đoàn Hà Đô,BĐS dân dụng,HOSE,17.3,10303.0,8.32,0.93,11.21,-17.97,-31.52,-39.44,False,False,62.71,0.96,39.25,18490965230.0,-45.72,11.61,73.8,47.4,11.0,33.9,38.4
HPG,Công ty cổ phần Tập đoàn Hòa Phát,Thép,HOSE,21.65,215681.0,10.77,1.29,11.94,-8.84,-11.0,-10.51,False,False,44.3,0.74,28.09,420888077097.0,-20.1,6.39,54.0,49.1,55.1,94.8,57.5
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Thép,HOSE,10.65,10029.0,7.4,0.41,5.51,-11.25,-7.7,-24.55,False,False,42.86,0.77,30.6,21804402600.0,-33.91,5.97,88.7,17.5,52.0,37.4,48.4
HT1,Công ty Cổ phần xi măng VICEM Hà Tiên,VLXD,HOSE,12.5,5838.0,17.36,0.94,5.41,-8.76,-28.57,-27.76,False,False,13.64,0.62,34.9,2473835225.0,-37.81,7.3,51.0,15.8,26.6,11.3,25.1
IDC,Tổng công ty IDICO - Công ty Cổ phần,BĐS KCN,HNX,32.0,18482.0,6.29,1.88,29.91,-15.42,-18.06,-12.49,False,False,26.53,0.87,37.48,35131656765.0,-29.13,13.89,58.3,95.6,33.2,46.1,54.5
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,BĐS dân dụng,HOSE,7.28,6579.0,7.66,0.57,7.42,-19.39,-24.68,-36.44,False,False,29.45,0.87,31.64,14922675885.0,-45.9,8.82,85.0,26.3,16.5,29.6,37.4
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,Dược phẩm,HOSE,38.5,8609.0,16.96,2.57,15.15,-14.69,-28.05,-25.29,True,False,58.62,0.21,23.43,683861320.0,-31.09,10.0,25.6,64.0,15.8,4.3,25.1
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP,BĐS KCN,HOSE,26.95,32867.0,11.0,0.93,8.48,-8.64,-18.58,-33.13,False,False,30.19,0.99,35.84,36544549210.0,-34.51,0.56,65.8,32.5,44.2,48.7,45.2
KDC,Công ty Cổ phần Tập đoàn Kido,Thực phẩm đồ uống,HOSE,51.5,13838.0,28.61,2.1,7.33,0.98,2.18,-1.98,True,True,44.0,0.1,21.16,6467744650.0,-3.59,23.8,18.9,25.4,81.0,20.0,42.3
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,BĐS dân dụng,HOSE,17.4,29234.0,18.51,1.05,5.67,-24.02,-34.95,-51.53,False,False,41.76,0.94,35.67,91951315660.0,-52.97,6.1,47.0,19.3,5.0,67.0,28.4
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,BĐS dân dụng,HOSE,4.82,2481.0,30.12,0.41,1.36,-3.6,-19.26,-29.94,False,False,51.52,0.68,29.53,9159601180.0,-44.6,2.12,55.1,5.3,50.6,23.5,33.1
LCG,Công ty cổ phần LIZEN,Xây dựng,HOSE,7.16,2087.0,9.81,0.55,5.58,-14.52,-22.24,-34.23,False,False,37.76,0.84,30.88,6096226174.0,-37.46,6.07,78.8,18.4,26.1,19.1,34.8
LPB,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,Ngân hàng,HOSE,48.55,139655.0,12.71,3.07,24.18,6.35,19.9,14.55,False,True,21.31,0.42,32.59,151066965670.0,-13.3,27.32,30.5,92.1,92.0,77.4,75.2
MBB,Ngân hàng Thương mại cổ phần Quân đội,Ngân hàng,HOSE,20.6,212652.0,6.2,1.22,19.64,2.88,-4.92,-5.44,True,True,52.94,0.82,27.1,234674741218.0,-11.31,14.23,71.9,83.3,77.9,87.8,82.3
MBS,Công ty cổ phần Chứng khoán MB,Ngân hàng,HNX,17.7,20319.0,10.29,1.44,14.02,-5.47,-18.33,-36.7,False,False,48.63,1.21,41.01,71906030435.0,-38.06,7.57,50.3,58.8,50.1,59.1,50.9
MCH,Công ty Cổ phần Hàng tiêu dùng Masan,Khác,HOSE,142.0,183037.0,22.43,8.28,36.93,9.58,-4.0,52.41,True,False,79.0,0.5,33.9,44296275480.0,-20.76,52.41,11.5,98.2,82.3,50.4,57.6
MIG,Tổng Công ty cổ phần Bảo hiểm Quân đội,Bảo hiểm,HOSE,16.0,3786.0,12.12,1.26,10.41,-4.57,-5.63,-1.53,False,False,59.93,0.45,30.31,1588985145.0,-16.32,11.76,53.5,42.1,67.8,8.7,44.0
MSN,Công ty Cổ phần Tập đoàn MaSan,Thực phẩm đồ uống,HOSE,68.8,114950.0,24.14,2.81,11.62,-5.88,-8.63,-17.21,True,False,58.89,0.83,28.68,276210661135.0,-22.26,7.67,16.3,48.2,61.9,92.2,48.3
MWG,Công ty cổ phần Đầu tư Thế giới Di động,Bán lẻ,HOSE,73.1,128340.0,15.32,3.3,21.56,-4.83,-12.87,-3.96,False,False,46.51,1.14,35.33,210869388060.0,-20.77,17.28,24.3,88.6,57.0,84.3,57.4
NKG,Công ty Cổ phần Thép Nam Kim,Thép,HOSE,10.7,6624.0,24.32,0.63,2.58,-13.46,-19.93,-25.51,False,False,36.84,0.79,33.82,16784904060.0,-40.85,2.88,54.5,7.9,31.3,33.0,29.5
